Record ID,Date-time 1,Date-time 2,Season,Station ID,Class,SpeciesID,Temperature,Number of individuals,Water use,Behavior
407,13/02/2019 13:11,13/02/2019 13:12,Dry,5,Aves,Xiphorhynchus flavigaster,28,1,Yes,Drinking
408,15/02/2019 14:48,15/02/2019 15:35,Dry,5,Aves,Xiphorhynchus flavigaster,35,1,No,Foraging
409,17/04/2019 19:31,17/04/2019 19:32,Dry,6,Aves,Crax rubra,31,2,Yes,Drinking
410,09/04/2019 18:42,09/04/2019 18:45,Dry,6,Aves,Penelope purpurascens,28,2,Yes,Drinking
411,10/04/2019 14:59,10/04/2019 15:02,Dry,6,Aves,Penelope purpurascens,40,1,Yes,Drinking
412,12/04/2019 09:28,12/04/2019 09:36,Dry,6,Aves,Penelope purpurascens,28,2,Yes,Drinking
413,01/04/2019 10:13,NA,Dry,6,Aves,Xiphorhynchus flavigaster,33,1,No,Passing
414,29/10/2019 14:42,NA,Rainy,7,Aves,Dendrocincla anabatina,30,1,Yes,Drinking
415,25/02/2020 14:33,NA,Dry,7,Aves,Dendrocincla anabatina,35,1,No,Foraging
416,24/11/2019 10:45,NA,Dry,7,Aves,Dendrocincla homochroa,28,1,Yes,Drinking
417,07/03/2020 10:58,NA,Dry,7,Mammalia,Eira barbara,23,1,No,Foraging
418,18/11/2019 16:37,NA,Dry,7,Aves,Hylocichla mustelina,25,1,Yes,Drinking
419,20/11/2019 09:55,NA,Dry,7,Aves,Hylocichla mustelina,23,1,Yes,Drinking
420,21/11/2019 09:45,21/11/2019 16:39,Dry,7,Aves,Hylocichla mustelina,23,1,Yes,Drinking
421,29/01/2020 17:31,NA,Dry,7,Aves,Hylocichla mustelina,28,1,Yes,Drinking
422,30/01/2020 16:06,NA,Dry,7,Aves,Hylocichla mustelina,29,1,Yes,Drinking
423,31/01/2020 12:53,NA,Dry,7,Aves,Hylocichla mustelina,31,1,Yes,Drinking
424,05/02/2020 10:26,NA,Dry,7,Aves,Hylocichla mustelina,28,1,Yes,Drinking
425,06/02/2020 12:45,06/02/2020 12:47,Dry,7,Aves,Hylocichla mustelina,33,1,Yes,Drinking
426,08/02/2020 09:09,08/02/2020 15:49,Dry,7,Aves,Hylocichla mustelina,24,1,Yes,Drinking
427,09/02/2020 13:11,09/02/2020 17:07,Dry,7,Aves,Hylocichla mustelina,31,1,Yes,Drinking
428,10/02/2020 11:37,NA,Dry,7,Aves,Hylocichla mustelina,29,1,Yes,Drinking
429,11/02/2020 10:47,NA,Dry,7,Aves,Hylocichla mustelina,28,1,Yes,Drinking
430,13/02/2020 11:42,13/02/2020 17:12,Dry,7,Aves,Hylocichla mustelina,30,1,Yes,Drinking
431,14/02/2020 13:31,NA,Dry,7,Aves,Hylocichla mustelina,33,1,No,Passing
