masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
598,1993,51.424,-0.495,8,1993,NA,1993,26,30,F,F,T,No,Yes,Yes,Slug,2,30,NA,1,1.5,0.9,0.45,NA,NA,NA,Yes,No,No,, ,,
599,1993,54.35,-0.887,5,1993,NA,1993,5,5,F,F,F,No,No,No,NA,NA,10,NA,0,2.4,0.6,Like a large puddle,NA,NA,NA,No,No,No,"Pond is natural, comes and goes with the weather. 1000' up, bracken is sprayed by helicopters in area.Spawn taken to local pond.", ,,
600,1993,51.361,-1.546,9,1993,10,1993,2,100,T,F,T,No,No,No,NA,NA,NA,1,0,3.3,3.3,0.38,NA,NA,NA,No,No,Yes,, ,,
601,1993,51.625,0.431,7,1993,9,1993,18,15,F,F,F,Yes,Yes,Yes,NA,NA,4,NA,1,1.8,1.2,0.6,NA,NA,NA,No,No,No,, ,,
602,1993,52.042,-0.019,3,1993,NA,1993,2,15,F,T,F,No,Yes,No,NA,NA,NA,12,1,1.2,0.9,0.3,NA,NA,NA,No,No,No,, ,,
603,1993,51.003,-0.915,7,1993,8,1993,10,30,F,F,F,No,No,Yes,NA,NA,10,NA,0,1.8,1.2,0.9,1.5,0.9,0.9,No,Yes,No,Spawn froze., ,,
604,1993,50.941,-0.999,7,1993,8,1993,4,5,T,F,F,No,No,Yes,NA,NA,20,NA,0,2,2,0.6,NA,NA,NA,No,Yes,Yes,, ,,
605,1993,50.945,-0.996,1,1993,10,1993,12,15,F,F,F,Yes,No,Yes,NA,NA,6,NA,0,2.4,1.2,0.9,NA,NA,NA,Yes,No,No,Fish could have been killed by heron. Fields are sprayed monthly - says that 4 of her animals (3 dogs + 1 cat) have all died with tumours in the last 4 yrs., ,,
606,1993,51.249,-1.133,4,1993,NA,1993,1,30,F,F,F,No,No,Yes,NA,NA,3,NA,0,1.8,1.2,0.6,NA,NA,NA,No,Yes,No,Strange behaviour - frogs piling up (not mating) in a patch of light shade on edge of pool., ,,
607,1993,50.967,0.095,7,1993,8,1993,12,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,No pond, ,,
608,1993,50.922,-1.428,6,1993,11,1993,50,50,F,F,F,Yes,Yes,Yes,NA,NA,13,1.5,1,4.8,2.4,0.6,NA,NA,NA,No,No,No,, ,,About 30 breeding frogs and spawn
609,1993,51.375,-0.329,4,1993,NA,1993,3,15,F,F,F,No,Yes,No,NA,NA,3,NA,1,1.8,1.8,1.2,NA,NA,NA,No,No,No,, ,,
610,1993,51.402,0.001,4,1993,7,1993,5,5,F,T,F,Yes,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,Yes,"Has no pond. Found a black, very active worm in the drain where the frogs live.", ,,
611,1993,51.459,-0.038,6,1993,7,1993,5,30,T,T,F,Yes,No,Yes,Mouse,1,4,NA,1,1.8,1.8,0.75,0.6,0.6,0.3,No,No,No,Also found dead snails and slugs, ,,
612,1993,51.722,-0.827,4,1993,8,1993,3,15,T,F,F,Yes,No,Yes,NA,NA,20,NA,0,3.6,1.5,0.6,NA,NA,NA,No,No,No,, ,,
613,1993,50.941,-0.999,6,1993,9,1993,4,15,F,F,F,Yes,No,Yes,Slug,NA,2,NA,0,3,1.2,0.9,NA,NA,NA,No,No,No,Mortality not as bad as previous 2 years, ,,
614,1993,50.783,-0.716,5,1993,7,1993,2,30,T,F,F,No,Yes,Yes,NA,NA,4,NA,0,2.4,0.9,0.45,NA,NA,NA,No,Yes,No,,"One dead looked normal, one was red underneath ",,
615,1993,50.74,-1.82,9,1993,10,1993,5,15,F,F,F,No,No,Yes,NA,NA,NA,6,1,2.1,1.2,0.9,NA,NA,NA,No,Yes,Yes,, ,,
616,1993,53.092,-1.159,4,1993,NA,1993,3,50,F,F,F,Yes,No,Yes,NA,NA,NA,2,0,3.6,1.8,0.9,NA,NA,NA,No,No,No,,Have seen sick frogs with ulcers and sores (september) ,,
617,1993,50.838,-0.27,6,1993,9,1993,12,5,F,F,F,Yes,No,Yes,NA,NA,NA,2,1,2.7,2.7,1,NA,NA,NA,No,No,No,, ,,
618,1993,50.931,-1.393,8,1993,10,1993,20,15,F,F,F,Yes,Yes,Yes,NA,NA,NA,NA,1,1.8,1.5,0.75,NA,NA,NA,No,No,No,"Dead frogs were of all sizes/ages. Some in pond, some on land. Toads + newts fine.", ,,
619,1993,54.669,-2.748,9,1993,NA,1993,2,5,F,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Has no pond, ,,
620,1993,51.344,-0.211,8,1993,10,1993,8,30,F,F,F,Yes,Yes,Yes,NA,NA,20,NA,1,4.5,2.7,0.75,NA,NA,NA,No,No,No,, ,,
621,1993,50.944,-0.998,7,1993,9,1993,18,70,T,T,F,Yes,Yes,Yes,Slug,NA,NA,5,0,1.8,1.2,0.6,2.4,2.4,0.75,No,Yes,No,, ,,
622,1993,50.901,-1.513,11,1993,NA,1993,1,30,T,F,F,No,No,Yes,NA,NA,NA,3.5,0,3,1.5,0.6,NA,NA,NA,No,No,No,, ,,
623,1993,51.286,0.532,6,1993,NA,1993,1,15,F,F,F,No,Yes,Yes,NA,NA,NA,2,1,2.4,2.4,0.45,NA,NA,NA,No,No,No,, ,,
624,1993,51.879,-0.923,10,1993,NA,1993,4,NA,F,F,F,No,Yes,No,Rodents,4,NA,NA,0,4.5,4.5,0.75,3.6,1.8,0.45,No,Yes,No,Plant nursery 100yds away. Used algicide in swimming pool.  Mice/shrews were amongst dead rodents., ,,
625,1993,50.844,-0.258,6,1993,8,1993,20,5,F,F,F,No,No,Yes,NA,NA,NA,10,1,1.8,1.2,0.6,NA,NA,NA,No,Yes,No,Most dead frogs found in pond. Didn't used to get many frogs - underused allotments at back of garden. This is now being cleared for development. In '92 had about 10 deaths., ,,
626,1993,50.941,-0.999,9,1993,NA,1993,2,30,T,F,F,No,Yes,No,NA,NA,3,NA,0,2.7,1.2,0.6,NA,NA,NA,No,Yes,No,, ,,
627,1993,51.455,0.102,4,1993,11,1993,15,5,F,F,F,No,No,Yes,NA,NA,4,NA,1,1.8,1.35,0.45,NA,NA,NA,No,No,No,All tadpoles died - turned grey and floated to top. Pre-back legs stage., ,,
628,1993,55.132,-1.632,4,1993,8,1993,8,5,F,F,T,Yes,Yes,Yes,Newt,1,NA,0.5,0,2.1,1.5,0.9,NA,NA,NA,No,No,No,, Had less spawn this year. Newt - limbs appeared to have vanished - spp = palmate,,
629,1993,52.78,1.356,11,1993,NA,1993,1,50,F,F,F,Yes,Yes,Yes,NA,NA,NA,1,0,3.6,1.5,0.45,NA,NA,NA,No,Yes,Yes,, ,,
630,1993,50.88,-0.297,11,1993,NA,1993,3,5,F,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,No,No,Has no pond. Thinks she has a slow worm, ,,
631,1993,50.835,-0.336,11,1993,NA,1993,1,30,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,1.5,0.9,0.6,NA,NA,NA,Yes,No,Yes,, ,,
632,1993,51.457,0.103,5,1993,9,1993,5,5,F,F,F,No,No,Yes,NA,NA,NA,NA,1,1.8,0.9,0.45,NA,NA,NA,No,No,No,See very few frogs now., ,,
633,1993,53.753,-2.727,4,1993,NA,1993,4,201,F,F,F,Yes,Yes,Yes,NA,NA,NA,4,1,4.2,1.2,0.9,NA,NA,NA,No,Yes,No,"Tadpoles took a long time to develop. Much less spawn than last year, tadpoles grew but did not develop legs.", ,,"0 deaths, fewer frogs came to spawn (all look healthy) but 1000s of tadpoles."
634,1993,51.099,-1.701,6,1993,8,1993,6,5,F,F,F,No,No,Yes,NA,NA,3,NA,0,3.6,2.4,0.3,NA,NA,NA,No,Yes,Yes,All dead frogs headless, AAC notes:  important to follow up,,
635,1993,51.218,1.386,8,1993,11,1993,30,101,F,F,F,No,No,Yes,NA,NA,24,6.5,1,2.4,1.8,0.6,NA,NA,NA,No,No,No,"Neighbours have also lost a lot (61-80 between them), also unmarked.", ,,
636,1993,52.552,-2.73,3,1993,4,1993,30,15,F,F,F,Yes,No,Yes,Golden orfe,4,3,NA,0,2.4,1.8,0.75,NA,NA,NA,No,No,No,, ,,
637,1993,53.395,-2.223,7,1993,NA,1993,1,5,F,F,F,No,No,Yes,NA,NA,3,NA,1,3,3,0.75,NA,NA,NA,No,Yes,No,"Mating activity very reduced in spring, less spawn", ,,"Improvement, several adult frogs and lots of large tadpoles"
638,1993,51.461,-0.149,4,1993,11,1993,6,50,F,F,F,Yes,No,Yes,NA,NA,18,NA,1,2,2,0.75,NA,NA,NA,No,No,No,, Have 1 giant natterjack toad,Natterjack in pond,"1995 update: 6 dead frogs. Discoloured, red spots, eye problems, lethargic. Tadpoles grew legs and left water."
639,1993,51.342,0.539,5,1993,8,1993,6,5,F,F,T,Yes,Yes,No,NA,NA,10,NA,1,1,0.6,0.45,NA,NA,NA,No,No,No,, ,,
640,1993,51.448,-0.898,7,1993,8,1993,2,15,F,F,F,No,No,Yes,NA,NA,3,NA,1,2.4,1.2,0.45,NA,NA,NA,No,Yes,Yes,One frog was a bright orange-pink all over, ,,
641,1993,50.837,0.446,7,1993,8,1993,30,70,F,F,F,No,No,Yes,NA,NA,NA,4,1,3,2.4,0.5,NA,NA,NA,Yes,Yes,No,Frogs found both on the grass and in the pond, ,,
642,1993,50.895,-1.015,4,1993,8,1993,12,5,F,F,F,No,Yes,Yes,NA,NA,NA,2,0,1.8,1.8,0.9,NA,NA,NA,No,No,No,Found in or near the pond. Only one live sighted since August., ,,
643,1993,50.837,-0.263,8,1993,9,1993,12,30,T,F,F,No,No,No,NA,NA,6,NA,1,2.4,1.2,0.6,NA,NA,NA,No,No,No,New liner has been in for 18 months. Haven't seen any live frogs since August., ,,
644,1993,52.067,1.24,4,1992,NA,NA,0,101,F,F,F,Yes,Yes,Yes,NA,NA,NA,2,1,1.8,1.8,0.9,1.8,0.6,0.45,Yes,No,No,no deaths in '93 (but one pink looking frog). Spawn was moved from pond 1 to pond 2., ,,
645,1993,50.794,-1.195,7,1993,11,1993,8,5,F,F,F,Yes,No,Yes,NA,NA,NA,NA,1,7.5,3.6,1.35,1.8,1.2,0.5,No,No,No,, ,,
646,1993,51.635,-0.002,3,1993,8,1993,30,30,F,F,F,Yes,Yes,No,NA,NA,NA,3,1,3.3,0.9,0.6,NA,NA,NA,No,No,No,"All died within 2ft of the pond. Unsure if spawn successful, so much vegetation in pond - didn't see any tadpoles", ,,"1995 update: 5 dead frogs, discoloured, sores/ulcers. All spawn failed."
647,1993,51.816,1.028,NA,1993,NA,1993,6,30,F,F,F,No,Yes,Yes,NA,NA,8,2,1,1.8,1.2,0.75,1.8,1.2,0.75,No,No,No,Didn't see if tadpoles developed. Dead frogs were adults. Have now cleaned pond and changed water., ,,
648,1993,50.828,-0.255,7,1993,9,1993,37,5,F,F,F,Yes,No,No,NA,NA,NA,3,1,1.8,0.9,0.75,NA,NA,NA,No,No,No,Most died in July - last two found in September., ,,
649,1993,51.328,-0.07,NA,1993,NA,1993,6,30,F,F,T,Yes,Yes,Yes,NA,NA,NA,1.5,1,5.5,1.8,0.9,NA,NA,NA,No,No,No,, ,,
650,1993,52.074,1.152,2,1993,9,1993,2,5,F,F,F,No,Yes,Yes,NA,NA,NA,NA,0,0.9,0.6,0.9,NA,NA,NA,No,No,No,, ,,"Several adult frogs looking healthy, plenty of spawn"
651,1993,51.403,0.483,6,1993,8,1993,4,15,F,F,F,No,No,No,NA,NA,NA,2,1,1.2,0.6,0.6,NA,NA,NA,No,No,No,Was given tadpoles from neighbour as her own spawn did not hatch., ,,
652,1993,51.398,0.095,10,1993,NA,1993,3,15,F,F,T,No,Yes,Yes,NA,NA,NA,1,1,2.4,1.2,0.75,1.2,1.2,0.6,No,No,No,, ,,
653,1993,51.802,1.196,4,1993,9,1993,5,50,T,F,F,No,Yes,Yes,NA,NA,NA,3,1,1.2,1.2,0.45,1.8,1.2,0.6,Yes,No,Yes,, ,,
654,1993,51.452,0.215,10,1993,12,1993,3,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond., ,,
655,1993,51.373,-0.413,NA,1993,NA,1993,1,5,F,F,F,No,No,Yes,NA,NA,20,NA,1,3.9,2.1,0.75,NA,NA,NA,No,Yes,Yes,,"Has a sick frog - white eyes, 1 hand withering away, breakdown of limbs, feet not formed properly ",,
656,1993,51.367,0.605,8,1993,11,1993,17,15,F,F,F,No,Yes,Yes,NA,NA,NA,NA,1,3.6,1.8,0.5,NA,NA,NA,No,No,No,Fish ate spawn, ,,
657,1993,50.838,-0.27,8,1993,9,1993,12,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond, ,,
658,1993,50.844,-0.931,7,1993,NA,1993,1,5,F,F,F,Yes,Yes,No,NA,NA,2,NA,0,1.2,1.2,0.75,NA,NA,NA,No,No,No,Not as many frogs as last year, ,,
659,1993,51.556,-0.049,8,1993,NA,1993,3,5,T,F,F,Yes,No,No,Toad,2,NA,1,1,2.1,1.2,0.75,NA,NA,NA,No,No,No,, ,,
660,1993,50.789,-2.754,10,1993,12,1993,2,NA,F,F,F,Yes,No,No,NA,NA,NA,NA,0,0.6,0.3,NA,NA,NA,NA,No,Yes,No,, ,,
661,1993,51.438,-3.185,4,1993,NA,1993,1,5,F,F,F,Yes,No,Yes,Fish,6,NA,1,1,1.2,1.2,0.6,NA,NA,NA,No,Yes,No,"2 dead starlings found in spring, no apparent symptoms.", ,,
662,1993,51.121,-1.34,12,1993,NA,1993,1,5,F,F,F,No,Yes,Yes,NA,NA,1,NA,0,2.4,1.8,0.9,NA,NA,NA,No,Yes,No,, ,,
663,1993,51.045,0.16,5,1993,6,1993,8,5,F,F,F,No,Yes,No,NA,NA,4,1,0,2.7,1.2,1,NA,NA,NA,No,No,No,, ,,
664,1993,51.552,0.708,9,1993,NA,1993,1,5,F,F,F,Yes,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Has no pond, ,,
665,1993,50.843,-0.209,4,1993,NA,1993,2,30,F,T,F,No,Yes,No,NA,NA,4,NA,1,2.4,1,0.5,1.65,1,0.5,No,No,No,, ,,
666,1993,51.992,1.312,4,1993,11,1993,3,30,T,F,F,Yes,Yes,Yes,Bird,1,NA,4,1,2.1,0.9,0.75,1.65,1.65,0.6,No,No,No,Fish and fountain in one pond only, ,,
667,1993,51.622,0.434,7,1993,10,1993,101,201,F,T,F,Yes,Yes,Yes,NA,NA,2,NA,1,3.9,1.6,0.6,NA,NA,NA,No,Yes,No,"Toads absent this year, frogs did not really spawn.", ,,More than 100 deaths this year
668,1993,53.386,-3.091,12,1993,NA,1993,2,30,F,F,F,No,Yes,Yes,NA,NA,NA,1,1,1.8,1,0.75,NA,NA,NA,No,No,No,"Noticed frogs active under the ice in the pond. 10 days later, 2 black, dead frogs were found floating, encased in cotton-wool like fungus.", ,,
669,1993,52.661,1.302,7,1993,10,1993,3,30,F,F,T,No,No,Yes,NA,NA,20,NA,1,1.5,0.9,0.6,3.3,2.4,0.6,No,Yes,Yes,,One frog had a front leg missing ,,
670,1993,51.61,0.667,6,1993,10,1993,70,50,T,T,T,Yes,Yes,Yes,NA,NA,NA,1,0,3.6,3,1.2,1.2,0.9,0.75,Yes,Yes,No,"Pond filtered, UV filter. pH 8. An adder seen to enter the pond for the 1st time this year. Not had any plants, fish or spawn imported for past 4 years.", ,,
671,1993,51.364,-0.333,6,1993,NA,1993,27,30,T,F,F,No,Yes,Yes,NA,NA,NA,1,0,3.6,1.2,0.6,NA,NA,NA,No,Yes,No,, ,,
672,1993,51.103,-0.169,6,1993,8,1993,10,5,F,F,F,Yes,Yes,No,NA,NA,NA,NA,0,0.45,0.4,NA,NA,NA,NA,No,Yes,Yes,All different sizes and ages of frogs, ,,
673,1993,51.12,-0.157,7,1993,9,1993,35,30,F,F,F,No,Yes,Yes,NA,NA,NA,2,1,3,2.4,0.6,NA,NA,NA,No,No,No,All dead frogs have been adults, ,,
674,1993,51.157,0.251,9,1993,NA,1993,2,30,T,F,F,Yes,Yes,Yes,NA,NA,4,NA,0,2.1,2.1,0.75,NA,NA,NA,No,No,Yes,, ,,
675,1993,51.742,-0.465,3,1993,4,1993,5,30,T,F,T,No,No,Yes,NA,NA,NA,1,1,1.5,1.2,0.75,NA,NA,NA,No,No,No,, ,,
677,1993,52.572,-1.404,6,1993,NA,1993,2,50,T,F,T,Yes,No,No,NA,NA,NA,5,0,3,1.8,0.75,NA,NA,NA,No,No,No,, ,,
678,1993,52.067,1.24,9,1993,NA,1993,1,5,F,F,F,No,Yes,Yes,NA,NA,2,NA,1,2.4,0.9,0.6,NA,NA,NA,No,No,No,, ,,
679,1993,51.259,-0.149,7,1993,9,1993,30,15,F,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,Yes,No,No pond, ,,
680,1993,51.603,-0.31,4,1993,NA,1993,3,15,F,F,F,No,No,Yes,NA,NA,12,NA,1,1.8,1,0.9,NA,NA,NA,No,No,No,, ,,
681,1993,51.332,0.136,4,1993,NA,1993,1,30,F,F,F,No,Yes,No,NA,NA,1,NA,0,1,3.5,0.3,NA,NA,NA,No,No,No,, ,,
682,1993,50.93,-1.398,6,1993,9,1993,4,5,F,F,F,Yes,Yes,No,NA,NA,NA,NA,1,2.5,2,0.5,NA,NA,NA,No,No,No,, ,,
683,1993,51.689,-0.404,4,1993,5,1993,5,5,T,F,F,Yes,Yes,No,NA,NA,NA,1,1,1.8,0.6,0.9,NA,NA,NA,No,No,No,, ,,
684,1994,52.443,-0.83,1,1994,NA,1994,17,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,4,3,1,NA,NA,NA,No,No,No,Nature area, ,,
685,1993,51.645,-0.209,4,1993,NA,1993,1,50,T,F,F,Yes,Yes,Yes,NA,NA,NA,2,1,3,1.2,0.6,NA,NA,NA,No,No,No,," Shubunkins bought last year  - died of an ulcerated condition of the scales almost immediately. Spawn was obtained from next doors pond 2ya. Spawn successful this year, 1000s of froglets, though one seems to have 'red leg'",,
686,1993,51.376,-0.081,12,1993,NA,1993,4,30,T,F,F,Yes,No,No,NA,NA,NA,2,1,7.5,1.8,1,NA,NA,NA,No,No,No,, ,,8 deaths in '94.
687,1993,50.855,-0.27,4,1993,7,1993,5,5,F,F,F,Yes,No,No,NA,NA,NA,NA,1,0.75,0.6,0.45,NA,NA,NA,No,No,No,, ,,
688,1993,51.278,0.178,6,1993,NA,1993,3,30,F,F,F,Yes,No,Yes,NA,NA,NA,1,0,4.5,3.6,0.75,NA,NA,NA,Yes,No,Yes,, ,,
689,1993,52.396,-1.85,8,1993,NA,1993,1,5,F,F,T,Yes,Yes,Yes,NA,NA,NA,4,1,3,2.4,1.2,NA,NA,NA,No,No,No,, ,,
690,1993,51.448,-0.17,5,1993,NA,1993,3,15,F,F,F,No,No,No,NA,NA,3,NA,1,0.75,0.6,0.3,NA,NA,NA,No,No,No,, pH 5.2,,
691,1993,51.589,-1.454,6,1993,NA,1993,1,NA,F,F,F,Yes,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,No,No,Has no pond - has never seen frogs in garden before, ,,
692,1993,52.936,-1.107,4,1993,5,1993,6,50,F,F,F,Yes,Yes,Yes,Vole,4,NA,10,1,4.5,2.1,0.9,NA,NA,NA,No,No,No,, ,,
693,1993,51.341,0.514,8,1993,NA,1993,1,30,F,F,T,No,No,Yes,NA,NA,NA,2,0,1.8,1.2,0.45,NA,NA,NA,No,No,No,, ,,
694,1993,51.753,-0.484,4,1993,NA,1993,1,15,T,F,F,No,No,No,NA,NA,NA,1,1,0.9,0.6,0.3,NA,NA,NA,No,No,No,, ,,
695,1993,51.279,-0.815,8,1993,NA,1993,1,5,F,F,F,No,No,No,Toad,1,NA,NA,1,0.9,0.6,0.45,NA,NA,NA,No,Yes,No,," Toad found in August - protruding eyes, lying on back. In October found a live, deformed (small) frog. Feet and lower limbs missing.",,
696,1993,51.595,0.067,6,1993,NA,1993,1,5,T,F,F,No,No,Yes,NA,NA,NA,NA,1,1.5,1.2,0.9,NA,NA,NA,No,Yes,Yes,, ,,
697,1994,51.122,-2.734,1,1994,NA,1994,1,15,F,F,F,Yes,No,Yes,NA,NA,NA,1,1,3.6,2.1,0.45,NA,NA,NA,No,No,No,, ,,
698,1993,54.98,-1.616,NA,1993,NA,1993,11,81,T,F,F,Yes,Yes,Yes,NA,NA,NA,NA,1,2.4,1.5,0.75,5.4,3.6,1,No,Yes,Yes,"Pond 1 = inside pond. Pond 2 = outside pond. No spawn in inside pond, lots in outside pond. Located in 800 sq m of glasshouses", ,,
699,1993,51.43,-0.003,5,1993,NA,1993,16,5,F,F,F,No,No,No,NA,NA,8,NA,1,1.8,1.2,0.5,NA,NA,NA,No,No,No,," Of the dead frogs, a third had no visible injuries, a third had lacerated backs/missing/injured limbs, other third had heads bitten off.",,"1 died January '94, found floating in pond with missing hands"
700,1994,53.192,-3.138,1,1994,NA,1994,1001,1000,F,F,F,No,No,No,NA,NA,NA,NA,0,Stream,NA,NA,NA,NA,NA,No,No,No,Small stream. Pollution incident - killed eels and invertebrates., ,,More than 1000 deaths this year
701,1994,53.397,-2.893,2,1994,NA,1994,1,150,F,F,F,Yes,No,No,NA,NA,6,NA,1,2.7,2.7,0.45,NA,NA,NA,No,No,No,, ,,
702,1994,50.803,-1.199,2,1994,NA,1994,15,30,F,F,T,No,No,Yes,NA,NA,2,NA,1,3,1.8,0.9,NA,NA,NA,No,Yes,Yes,"Relined pond 3ya. Had newts last year, but not this.", ,,
703,1993,51.895,-0.379,7,1993,NA,1993,3,5,T,F,F,No,No,No,NA,NA,2,NA,1,0.9,0.9,0.6,NA,NA,NA,No,No,No,, ,,
704,1993,50.611,-2.483,10,1993,11,1993,3,5,T,F,F,Yes,No,Yes,NA,NA,2,NA,1,2.4,1.2,0.75,NA,NA,NA,No,No,No,, ,,
705,1994,50.85,-1.121,2,1994,NA,1994,9,15,T,F,F,Yes,No,Yes,NA,NA,NA,2,1,1.2,0.9,0.9,NA,NA,NA,No,No,Yes,, ,,
706,1993,52.623,1.268,9,1993,NA,1993,10,100,T,F,F,Yes,No,No,NA,NA,NA,2,1,2.4,1.2,0.9,NA,NA,NA,No,No,No,, ,,
707,1994,52.581,-2.147,2,1994,NA,1994,12,50,F,T,F,No,No,No,NA,NA,NA,NA,1,1.2,1.2,0.45,NA,NA,NA,No,No,No,Bungalow. No spawn yet - too early. Moved spawn into pond in '93 - was successful., ,,
708,1994,52.118,-2.313,2,1994,NA,1994,1,30,F,F,F,No,No,Yes,NA,NA,4,NA,1,2.55,0.9,0.6,0.6,0.45,0.9,No,No,No,Fish in pond 2, ,,
709,1994,51.412,-3.545,2,1994,NA,1994,5,5,F,F,F,No,No,Yes,NA,NA,4,NA,0,1.8,0.9,0.9,1.5,0.75,0.75,No,No,No,, ,,
710,1994,53.379,-2.115,9,1993,NA,1993,NA,5,F,F,F,Yes,No,Yes,NA,NA,6,NA,1,3,1,0.8,NA,NA,NA,No,Yes,No,"None dead this year, but 2 dead in '93", ,,
711,1994,51.337,0.714,2,1994,NA,1994,1,30,T,F,T,No,Yes,Yes,NA,NA,NA,1,1,3,2.4,0.6,NA,NA,NA,No,No,No,, ,,
712,1994,51.441,-2.59,2,1994,NA,1994,42,501,T,F,F,Yes,Yes,No,NA,NA,NA,3,1,18,7.2,1.2,NA,NA,NA,No,No,No,Farm pond. Spawn hatched and developed in '93, ,,
713,1994,51.069,0.333,3,1994,NA,1994,1,30,F,T,T,No,No,No,NA,NA,NA,2,0,2.1,1.2,0.9,NA,NA,NA,No,No,No,Spawn hatched in '93, ,,
714,1994,51.473,-0.334,2,1994,NA,1994,10,5,F,F,F,No,No,No,NA,NA,NA,NA,1,4.2,0.9,0.6,NA,NA,NA,No,No,Yes,pH 6.9. Water snails had damage to their shells., ,,
715,1994,51.878,0.862,3,1994,NA,1994,21,81,F,F,F,Yes,No,No,NA,NA,NA,3,1,3.6,4.2,1.2,NA,NA,NA,No,No,No,Spawn successful last year,Stub marks at back of neck ,,
716,1994,50.8,0.316,3,1994,NA,1994,1,15,F,F,F,No,No,Yes,NA,NA,NA,NA,0,2.1,2.1,1.2,NA,NA,NA,No,Yes,No,"In '93, one blob of spawn, tadpoles died suddenly", ,,
717,1994,51.367,-0.033,2,1994,NA,1994,NA,30,F,F,F,Yes,Yes,No,NA,NA,NA,NA,1,1.8,0.3,0.6,NA,NA,NA,No,Yes,No,"In '93, 2 clumps of spawn - all failed", ,,
718,1994,52.89,-1.429,2,1994,NA,1994,2,30,T,T,F,No,No,Yes,NA,NA,4,NA,1,3.9,4.2,0.6,NA,NA,NA,No,No,No,"The frog was taken to a local museum. Spawn moved out in '93, spawn was successful.", ,,
719,1994,51.334,-0.276,3,1994,NA,1994,1,50,T,T,F,Yes,Yes,No,NA,NA,NA,3,1,2,1,0.6,NA,NA,NA,No,No,No,Successful spawn in '93, ,,
720,1994,51.451,-0.335,2,1994,NA,1994,10,30,F,F,F,Yes,Yes,Yes,NA,NA,NA,NA,1,2.7,2.7,0.6,NA,NA,NA,No,Yes,No,"In '93. had 4 sq ft of spawn, moved some out of the pond, hatched and developed.", ,,
721,1994,51.43,-0.112,3,1994,NA,1994,14,200,T,F,T,Yes,Yes,Yes,NA,NA,NA,2,1,3,3,0.75,NA,NA,NA,No,No,No,Spawn successful in '93, ,,
722,1994,50.749,-1.875,3,1994,NA,1994,8,200,F,F,F,No,No,No,NA,NA,NA,3,1,1.2,0.75,0.6,NA,NA,NA,No,No,No,Spawn successful in '93, ,,
723,1994,51.767,-0.344,5,1994,7,1994,8,15,F,F,F,No,No,Yes,NA,NA,12,NA,1,1.2,1.2,1.2,1.8,0.9,1.2,No,Yes,No,3ya a bird died in pond., ,,
724,1994,51.247,-0.598,3,1994,NA,1994,1,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Has no pond, ,,
725,1994,53.054,-2.455,2,1994,NA,1994,2,50,F,F,F,Yes,No,Yes,NA,NA,NA,NA,0,4.5,1.8,1.5,NA,NA,NA,No,No,No,Farmers field sprayed behind garden. Spawn introduced in 1991, ,,
726,1994,51.57,0.23,3,1994,NA,1994,1,5,T,F,F,Yes,Yes,No,NA,NA,NA,NA,1,2.7,1,1,NA,NA,NA,No,No,No,, ,,
727,1994,50.734,-1.93,3,1994,NA,1994,7,50,F,F,F,Yes,Yes,Yes,NA,NA,NA,2,1,2.4,2.4,0.75,2.4,2.4,0.75,No,No,No,, ,,
728,1994,51.433,-0.095,3,1994,NA,1994,10,30,F,F,F,No,No,Yes,NA,NA,NA,1,1,1.5,1,0.2,NA,NA,NA,No,Yes,Yes,"In '93, spawn hatched and developed", ,,
729,1994,51.39,-0.181,2,1994,NA,1994,1,5,F,F,F,Yes,No,Yes,NA,NA,5,NA,1,1.5,1.5,0.75,1.8,1.5,0.9,Yes,Yes,No,, ,,
730,1994,51.287,-0.947,2,1994,NA,1994,1,5,F,F,F,No,No,No,NA,NA,6,NA,1,0.9,0.9,0.9,NA,NA,NA,No,No,Yes,Tadpoles died suddenly in '93. This year tadpoles hatching ok but some are dying., ,,
