masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
23,1992,51.503,-0.479,4,1992,7,1992,6,30,F,F,F,Yes,Yes,Yes,NA,NA,3,NA,1,2.4,1.8,0.9,NA,NA,NA,No,Yes,No,Pond filter, ,,Good spawning year. Dead frog did not appear to be victim of predation.
24,1992,51.341,0.588,5,1992,6,1992,12,15,F,F,F,No,No,Yes,NA,NA,NA,1,1,1.5,1,NA,NA,NA,NA,No,No,No,"Fish died, has given spawn away, pond now filled in", ,,"Neighbour has filled in pond, no signs of dead frogs since"
25,1992,51.445,0.127,6,1992,NA,1992,6,5,F,F,F,Yes,Yes,Yes,Toad,2,3,NA,1,1.2,3,0.45,1.2,1.2,0.45,No,No,No,2 toads died in one pond, ,,
26,1992,52.237,-1.457,1,1992,8,1992,15,15,F,F,F,No,Yes,No,NA,NA,NA,NA,0,1,1,0.5,NA,NA,NA,No,No,No,Found skeletons when cleaning the pond in spring. Newts unaffected, ,,Moved house - (no pond).
27,1992,53.395,-1.228,3,1992,6,1992,6,30,F,F,F,Yes,No,Yes,NA,NA,2,NA,0,3.6,2.4,1,NA,NA,NA,No,No,No,"Pump+filter, neighbour is a farmer who muckspreads. Had much less spawn this year. Dead frogs appeared a week after adding salt to pond. Salt was a cow salt lick.", ,,
28,1992,51.376,-0.45,2,1992,11,1992,151,15,F,T,F,Yes,Yes,Yes,NA,NA,NA,0.5,1,1.2,0.9,0.7,0.6,0.6,0.2,No,No,No,"50 died in February. 100 between March-August, 6 between September-November.Prolongued summer drought - tap water used to top up pond.", ,,
29,1992,51.551,0.645,6,1992,8,1992,9,30,F,T,F,Yes,Yes,Yes,NA,NA,NA,6,1,3,2,1.3,NA,NA,NA,No,No,No,," Lost all carp before frog mortality. After deaths, everything was discarded and plants changed. Aviation fuel spills on garden from nearby airfield.",,
30,1992,50.996,-1.353,7,1992,9,1992,13,50,F,F,F,Yes,Yes,No,NA,NA,NA,6,1,1.2,1.2,0.4,1.2,1.2,0.4,No,No,No,More toads this year. Last year neighbour used herbicide. >150 dead last year. A lot less froglets this year., ,,
31,1992,51.345,-0.51,1,1992,2,1992,40,15,F,F,F,No,Yes,Yes,NA,NA,6,NA,1,0.6,0.9,0.45,NA,NA,NA,No,Yes,Yes,, Cleaned pond twice this year.Dead frogs found after winter ice melted. 16 out of 20 goldfish died after frogs,,6 breeding pairs arrived in '93
32,1992,51.445,0.107,4,1992,5,1992,3,15,F,F,F,Yes,Yes,Yes,NA,NA,6,NA,1,1.8,1.2,0.45,NA,NA,NA,No,No,Yes,Fish deaths due to overstocking/predation. Think the casualties are due to magpies and crows - wounds are described as 'pecks'. 10 died in '91., ,,Tadpoles did not develop
33,1992,51.462,-2.608,5,1992,NA,1992,100,101,F,F,F,Yes,Yes,No,"Newt, Toad",2,NA,3,1,6,3.6,1.5,NA,NA,NA,No,No,No,2 Newts dead also. Lots of frog bones at the bottom of the pond. No fish this year., ,,
34,1992,51.391,0.051,6,1992,10,1992,5,5,F,F,F,No,Yes,No,NA,NA,NA,NA,1,1.8,0.6,0.6,NA,NA,NA,No,Yes,Yes,Has pond pump. Deaths seemed to be after heavy rain, ,,Topup with tap water
